music,genre,rating,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
id_53801,"relaxing, Isochronic, greogrean_chant, nature, chillout, classic, meditation",2,29,0.436,0.277,9,-18.604,0,0.0306,0.977,0.899,0.0647,0.404,142.184
id_4487,"Isochronic, zen, nature, classic, meditation",4,41,0.367,0.938,7,-4.643,1,0.0464,0.0052,5.18E-06,0.428,0.556,177.916
id_12240,"relaxing, Isochronic, zen, ambient, binucalor",2,28,0.533,0.663,1,-8.301,0,0.0341,0.237,0.0814,0.0709,0.702,175.927
id_72943,"classic, meditation, Isochronic",2,39,0.556,0.541,4,-6.018,1,0.0292,0.00476,0.0171,0.128,0.553,96.531
id_6183,"relaxing, ambient, Isochronic, greogrean_chant, binucalor, meditation",3,37,0.343,0.701,10,-5.365,1,0.0297,0.00225,0.00516,0.115,0.416,91.601
id_80988,"relaxing, ambient, chillout, classic, meditation",6,48,0.823,0.569,7,-9.301,0,0.0498,0.0571,0.00242,0.0938,0.831,111.974
id_20428,"relaxing, nature, binucalor, chillout, classic, meditation",2,38,0.829,0.408,0,-16.117,0,0.125,0.811,0.658,0.107,0.406,132.976
id_22158,"relaxing, ambient, zen, chillout",2,55,0.429,0.683,8,-7.297,1,0.038,0.000823,0.00342,0.0801,0.0536,126.873
id_39811,"relaxing, nature, meditation, zen",7,42,0.528,0.909,11,-6.95,1,0.0438,3.00E-05,0.0346,0.376,0.823,147.988
id_69175,"relaxing, Isochronic, zen, greogrean_chant, meditation",9,83,0.726,0.463,0,-7.828,1,0.0799,0.00817,0.447,0.255,0.321,123.881
id_59559,"ambient, nature, binucalor, chillout, meditation",4,43,0.588,0.282,4,-6.676,1,0.0327,0.786,0,0.1,0.308,125.048
id_63520,"relaxing, ambient, zen, Isochronic, nature, binucalor",8,44,0.395,0.892,11,-8.07,1,0.0537,0.0797,0,0.706,0.67,148.43
id_96595,"Isochronic, zen, ambient, greogrean_chant, chillout, classic",9,36,0.767,0.592,10,-10.397,1,0.066,0.0995,0.732,0.464,0.555,97.966
id_34429,"Isochronic, greogrean_chant, chillout, classic, meditation",6,59,0.713,0.794,7,-8.173,1,0.0943,0.197,0.000232,0.603,0.961,155.942
id_58294,"relaxing, Isochronic, greogrean_chant, binucalor, chillout, meditation",6,25,0.495,0.754,2,-5.894,0,0.0385,0.00704,0.00248,0.137,0.38,147.957
id_57330,"chillout, classic, binucalor, nature",9,52,0.554,0.449,2,-7.17,1,0.0336,0.0245,1.65E-06,0.257,0.441,137.946
id_18432,"ambient, zen, greogrean_chant, nature, classic",1,34,0.423,0.748,5,-9.832,1,0.0387,0.0303,0.223,0.169,0.429,93.973
id_51438,"ambient, Isochronic, nature, chillout, meditation",5,39,0.373,0.862,0,-3.988,1,0.0383,4.78E-05,0.00486,0.109,0.21,158.932
id_33181,"zen, greogrean_chant, binucalor, chillout, classic",6,53,0.655,0.9,7,-6.267,1,0.0423,0.0447,0.205,0.269,0.885,109.984
id_60837,"relaxing, ambient, Isochronic, nature, classic, meditation",6,65,0.662,0.574,4,-8.696,1,0.0261,0.298,0.00902,0.115,0.948,109.085
id_71088,"Isochronic, zen, chillout, classic, meditation",2,73,0.42,0.33,9,-13.925,1,0.0275,0.245,0.000679,0.0677,0.175,157.143
id_63078,"relaxing, Isochronic, zen, nature, binucalor, meditation",9,45,0.535,0.763,1,-10.16,0,0.0788,0.578,0.573,0.103,0.166,148.027
id_35870,"ambient, zen, nature, chillout, meditation",4,23,0.15,0.843,9,-8.369,1,0.0439,0.000127,0.502,0.665,0.729,180.034
id_19236,"relaxing, Isochronic, binucalor, chillout, classic, meditation",5,37,0.621,0.602,9,-7.796,0,0.0279,0.000316,0.853,0.134,0.609,116.011
id_56999,"relaxing, ambient, nature, binucalor, chillout, classic",5,33,0.0731,0.251,0,-16.576,0,0.0372,0.906,0.844,0.123,0.0366,79.841
id_14405,"ambient, Isochronic, greogrean_chant, nature, binucalor, classic",8,58,0.367,0.877,7,-3.92,1,0.109,0.00108,1.08E-05,0.351,0.395,157.68
id_81718,"ambient, zen, binucalor, chillout, meditation",6,24,0.421,0.784,3,-8.457,1,0.0466,0.015,0.00204,0.186,0.648,176.659
id_30237,"zen, greogrean_chant, binucalor, chillout, classic, meditation",9,40,0.581,0.576,1,-6.938,1,0.0276,0.207,1.74E-05,0.109,0.526,77.001
id_1261,"relaxing, Isochronic, zen, ambient, nature, classic",4,46,0.49,0.817,2,-5.912,1,0.0272,8.49E-05,0.0129,0.0962,0.369,99.335
id_30105,"relaxing, ambient, classic, greogrean_chant",8,56,0.531,0.849,9,-10.754,1,0.111,0.0389,0.00763,0.186,0.305,119.516
id_17750,"relaxing, ambient, greogrean_chant, binucalor, classic, meditation",1,0,0.612,0.761,3,-6.317,0,0.0481,0.0979,0.108,0.111,0.531,154.042
id_5712,"Isochronic, zen, nature, chillout, classic, meditation",9,49,0.19,0.964,1,-7.711,0,0.101,0.00549,3.93E-05,0.33,0.295,173.578
id_36466,"relaxing, ambient, zen, binucalor, meditation",9,31,0.447,0.551,9,-9.418,1,0.038,0.452,0.00564,0.116,0.362,177.875
id_93741,"relaxing, Isochronic, zen, nature, binucalor, meditation",6,68,0.459,0.931,5,-5.024,1,0.0612,0.00126,0.00881,0.412,0.419,135.826
id_89868,"relaxing, Isochronic, zen, chillout, classic, meditation",5,32,0.596,0.318,0,-10.394,1,0.0288,0.636,2.35E-05,0.0837,0.271,119.974
id_32473,"relaxing, greogrean_chant, binucalor, chillout, classic, meditation",2,46,0.431,0.392,6,-9.994,0,0.0585,0.705,7.33E-06,0.174,0.3,98.667
id_18749,"relaxing, ambient, greogrean_chant, nature, binucalor, classic",6,72,0.624,0.91,0,-5.703,1,0.0297,0.0285,0.000198,0.0789,0.767,104.042
id_68841,"Isochronic, ambient, greogrean_chant, nature, binucalor, classic",8,47,0.561,0.777,11,-6.81,0,0.374,0.01,0,0.752,0.489,119.952
id_98018,"relaxing, ambient, zen, Isochronic, greogrean_chant, chillout, meditation",2,37,0.767,0.374,6,-10.12,0,0.148,0.219,0.766,0.099,0.565,91.024
id_62117,"relaxing, Isochronic, zen, ambient, greogrean_chant, nature, classic, meditation",8,59,0.346,0.785,7,-4.991,1,0.0434,0.00165,0.00806,0.124,0.186,175.986
id_33812,"ambient, Isochronic, zen, greogrean_chant, binucalor, classic, meditation",5,40,0.556,0.683,1,-9.149,0,0.0374,0.101,0.0577,0.229,0.694,101.006
id_10146,"ambient, zen, greogrean_chant, nature, binucalor, chillout, classic",1,56,0.613,0.376,6,-8.592,0,0.0377,0.0919,0.324,0.149,0.496,170.2
id_58112,"chillout, classic, zen, Isochronic",2,45,0.402,0.923,8,-5.596,1,0.0468,0.0037,0,0.469,0.237,83.238
id_84191,"Isochronic, zen, greogrean_chant, chillout, classic, meditation",2,68,0.457,0.902,7,-5.624,1,0.0313,2.17E-05,0.196,0.258,0.834,92.711
id_94330,"Isochronic, greogrean_chant, nature, binucalor, chillout",6,47,0.593,0.651,1,-4.425,0,0.0508,0.000115,0,0.0655,0.345,86.085
id_82464,"ambient, zen, Isochronic, nature, classic",8,23,0.708,0.411,9,-11.264,1,0.0493,0.45,0.00481,0.134,0.337,103.025
id_46829,"relaxing, ambient, zen, nature, classic, meditation",5,47,0.76,0.682,4,-8.906,0,0.134,0.209,0.877,0.0719,0.216,122.018
id_31183,"relaxing, ambient, Isochronic, greogrean_chant, nature, meditation",9,32,0.4,0.428,7,-6.617,1,0.0341,0.0396,0.0156,0.0973,0.193,123.319
id_40239,"relaxing, ambient, greogrean_chant, nature, chillout, classic",9,57,0.591,0.947,0,-3.259,1,0.0838,0.065,0,0.23,0.542,177.064
id_36969,"relaxing, ambient, binucalor, chillout, classic",7,47,0.803,0.581,9,-8.054,1,0.17,0.0258,0.84,0.0768,0.163,125.007
id_96503,"relaxing, Isochronic, ambient, zen, classic, meditation",3,53,0.416,0.681,11,-7.122,0,0.0384,0.00971,0.000578,0.105,0.266,149.892
id_3963,"relaxing, ambient, zen, greogrean_chant, binucalor, chillout",9,63,0.286,0.907,7,-9.67,1,0.0374,0.000277,0.202,0.0837,0.746,156.395
id_77324,"greogrean_chant, binucalor, chillout, classic, meditation",9,47,0.783,0.706,6,-11.098,0,0.0703,0.00214,0.0037,0.109,0.124,121.982
id_63353,"Isochronic, greogrean_chant, nature, binucalor, meditation",8,44,0.397,0.512,8,-6.734,1,0.0307,0.241,0.00391,0.1,0.0765,127.401
id_3552,"relaxing, ambient, Isochronic, chillout, classic",6,60,0.494,0.735,5,-8.347,1,0.0345,0.00401,3.14E-06,0.544,0.742,132.526
id_81919,"ambient, zen, greogrean_chant, nature, classic, meditation",9,45,0.343,0.718,9,-7.632,0,0.0918,0.0585,3.49E-05,0.157,0.452,77.772
id_81075,"Isochronic, binucalor, ambient",3,68,0.551,0.86,7,-7.839,1,0.0796,0.262,4.57E-06,0.0558,0.723,136.921
id_64873,"relaxing, binucalor, chillout, classic, meditation",8,25,0.659,0.754,4,-3.423,0,0.0375,0.00184,0.836,0.0923,0.0471,130.021
id_45936,"relaxing, Isochronic, ambient, greogrean_chant, chillout",8,24,0.811,0.662,6,-7.197,0,0.143,0.0695,0,0.235,0.97,125.002
id_23332,"relaxing, zen, greogrean_chant, nature, binucalor, classic",5,58,0.609,0.659,2,-7.218,1,0.0442,0.00592,0.000292,0.161,0.522,80.996
id_28976,"chillout, ambient, zen, Isochronic",3,39,0.559,0.589,0,-8.002,1,0.0364,0.188,6.10E-05,0.104,0.585,175.361
id_96056,"relaxing, Isochronic, zen, ambient, greogrean_chant, binucalor, chillout",4,52,0.776,0.57,0,-8.767,1,0.03,0.704,0.00215,0.109,0.784,131
id_18002,"relaxing, Isochronic, zen, nature, meditation",2,58,0.472,0.735,4,-9.822,0,0.0305,0.00596,0.00124,0.166,0.643,110.809
id_69716,"relaxing, zen, greogrean_chant, nature, classic, meditation",3,42,0.424,0.873,6,-5.404,1,0.0542,0.202,3.47E-06,0.0741,0.759,180.042
id_76870,"relaxing, ambient, zen, greogrean_chant, binucalor, meditation",3,30,0.65,0.712,2,-6.066,1,0.0304,0.0271,0.0166,0.112,0.847,125.795
id_54911,"relaxing, Isochronic, greogrean_chant, chillout, classic, meditation",5,49,0.7,0.418,4,-11.238,0,0.033,0.655,0,0.195,0.721,119.627
id_36502,"ambient, zen, nature, chillout, classic, meditation",6,84,0.527,0.922,9,-2.666,0,0.0728,0.00475,0.000162,0.422,0.49,95.975
id_58396,"Isochronic, zen, greogrean_chant, nature, binucalor, classic",7,1,0.423,0.984,9,-4.261,0,0.1,2.29E-05,0.00676,0.321,0.199,103.218
id_3606,"Isochronic, zen, chillout, classic, meditation",6,39,0.673,0.227,6,-11.624,1,0.0288,0.532,0.00229,0.0971,0.19,111.019
id_30850,"relaxing, Isochronic, greogrean_chant, binucalor, classic",2,57,0.614,0.721,0,-8.962,1,0.0322,0.000642,0.0817,0.167,0.708,146.629
id_52336,"relaxing, ambient, zen, Isochronic, greogrean_chant, classic, meditation",7,35,0.293,0.229,8,-17.521,1,0.0333,0.994,0.956,0.0758,0.0952,111.949
id_58904,"Isochronic, greogrean_chant, nature, binucalor, classic, meditation",2,48,0.506,0.0952,7,-13.51,1,0.0385,0.91,3.55E-06,0.111,0.162,111.163
id_68711,"relaxing, Isochronic, greogrean_chant, nature, classic, meditation",2,45,0.332,0.707,7,-12.698,1,0.0361,1.20E-05,0.00612,0.11,0.652,144.815
id_54462,"ambient, zen, Isochronic, greogrean_chant, binucalor, chillout, meditation",4,49,0.315,0.975,4,-3.21,1,0.0703,0.000558,0.00145,0.467,0.435,138.215
id_48534,"relaxing, Isochronic, zen, ambient, greogrean_chant, chillout, meditation",1,35,0.23,0.737,5,-6.949,0,0.0463,6.19E-06,0.86,0.296,0.202,216.194
id_8414,"relaxing, Isochronic, zen, chillout, classic",1,0,0.671,0.756,2,-5.914,1,0.0504,0.00178,0.00224,0.273,0.277,110.016
id_59079,"Isochronic, zen, nature, binucalor, classic",9,34,0.571,0.695,11,-5.785,1,0.0579,0.373,0,0.133,0.304,100.648
id_25277,"relaxing, greogrean_chant, nature, binucalor, classic, meditation",4,31,0.541,0.533,10,-10.92,0,0.0361,0.679,0.402,0.0984,0.371,134.871
id_80062,"chillout, nature, zen, Isochronic",2,51,0.607,0.758,9,-6.855,1,0.0306,0.00505,0.435,0.372,0.727,90.031
id_41867,"relaxing, Isochronic, greogrean_chant, binucalor, meditation",5,33,0.345,0.614,2,-6.976,1,0.0357,0.0309,0.0249,0.134,0.042,123.016
id_37655,"relaxing, Isochronic, greogrean_chant, binucalor, chillout, classic",9,66,0.478,0.974,7,-3.866,1,0.102,0.000266,0.0984,0.0738,0.268,141.077
id_47191,"relaxing, Isochronic, zen, nature, binucalor",1,66,0.402,0.597,2,-9.258,1,0.0327,0.0385,2.09E-06,0.109,0.496,81.806
id_12697,"Isochronic, zen, ambient, greogrean_chant, nature, binucalor, meditation",8,30,0.599,0.316,1,-14.436,1,0.081,0.679,0.00113,0.653,0.355,147.963
id_19657,"Isochronic, zen, greogrean_chant, binucalor, chillout, classic",7,50,0.562,0.537,7,-6.273,0,0.073,0.00623,0,0.316,0.465,100.757
id_98854,"relaxing, Isochronic, zen, greogrean_chant, nature, chillout, classic",1,62,0.458,0.895,2,-3.972,1,0.0681,0.000219,0.000394,0.106,0.357,130.327
id_43443,"relaxing, ambient, zen, nature, chillout, meditation",6,45,0.626,0.599,0,-6.141,1,0.0459,0.0199,0.8,0.133,0.428,125.014
id_58854,"relaxing, Isochronic, zen, nature, binucalor, meditation",1,50,0.713,0.488,1,-10.278,1,0.321,0.281,0.885,0.277,0.565,177.837
id_11974,"Isochronic, ambient, zen, greogrean_chant, binucalor, chillout, classic",2,38,0.492,0.926,11,-5.666,1,0.208,3.23E-06,0.00132,0.505,0.407,121.172
id_29122,"relaxing, zen, nature, binucalor, chillout, meditation",1,37,0.236,0.485,10,-8.975,1,0.0288,0.234,0.071,0.11,0.123,97.577
id_31487,"relaxing, ambient, zen, chillout, classic",7,63,0.529,0.755,10,-3.917,0,0.0383,0.106,0.000607,0.157,0.383,73.998
id_44209,"relaxing, zen, greogrean_chant, nature, binucalor, classic",7,65,0.595,0.588,10,-11.313,1,0.0624,0.507,0.781,0.113,0.518,166.061
id_60696,"relaxing, zen, greogrean_chant, binucalor, chillout",6,68,0.501,0.813,11,-8.192,1,0.0639,0.0455,4.75E-05,0.131,0.495,136.59
id_53141,"ambient, nature, binucalor, classic, meditation",2,51,0.669,0.563,5,-10.437,0,0.0357,0.25,0.917,0.142,0.394,119.974
id_62448,"relaxing, ambient, Isochronic, nature, classic, meditation",9,32,0.707,0.562,6,-9.751,1,0.0664,0.654,0.112,0.117,0.26,141.988
id_16760,"Isochronic, zen, nature, classic, meditation",1,45,0.604,0.481,8,-11.443,1,0.051,0.0221,0.00147,0.122,0.158,82.481
id_40247,"relaxing, ambient, greogrean_chant, binucalor, chillout, meditation",6,61,0.694,0.887,0,-8.503,1,0.0759,0.0209,0.826,0.084,0.856,120.04
id_99794,"ambient, zen, greogrean_chant, nature, chillout, meditation",6,40,0.357,0.94,6,-2.74,0,0.158,0.00323,2.28E-05,0.206,0.444,174.978
id_46520,"Isochronic, nature, binucalor, chillout, classic, meditation",7,64,0.545,0.578,2,-8.745,1,0.0406,0.0114,6.57E-05,0.0692,0.819,128.038
id_47116,"relaxing, ambient, Isochronic, zen, greogrean_chant, chillout",9,71,0.62,0.61,11,-8.329,0,0.0373,0.00849,0.162,0.205,0.235,127.052
id_16838,"relaxing, zen, nature, binucalor, classic, meditation",5,51,0.462,0.754,7,-3.361,1,0.0459,0.00843,0,0.118,0.475,110.397
id_31544,"ambient, nature, binucalor, chillout, meditation",1,54,0.521,0.855,9,-3.348,1,0.0686,0.0223,5.54E-06,0.0869,0.257,158.744
id_85780,"ambient, zen, Isochronic, nature, binucalor, chillout",1,53,0.679,0.111,6,-28.013,1,0.0653,0.623,0.274,0.353,0.508,90.014
id_47252,"relaxing, classic, ambient, nature",7,27,0.426,0.538,10,-8.154,1,0.0367,0.00751,0.0031,0.0729,0.507,171.693
id_99919,"relaxing, ambient, Isochronic, zen, greogrean_chant, binucalor, classic",7,23,0.495,0.844,7,-4.448,1,0.0433,9.75E-05,0.81,0.447,0.46,119.958
id_95795,"ambient, Isochronic, zen, chillout, classic, meditation",5,4,0.659,0.166,2,-14.523,0,0.0753,0.877,0.0502,0.101,0.345,49.32
id_10425,"relaxing, Isochronic, zen, nature, binucalor, meditation",3,23,0.701,0.205,3,-13.458,1,0.0582,0.959,0.00359,0.0716,0.839,101.734
id_94237,"relaxing, ambient, greogrean_chant, nature, meditation",5,31,0.498,0.824,5,-7.832,0,0.132,0.0641,0.000112,0.18,0.549,157.04
id_56024,"relaxing, Isochronic, greogrean_chant, binucalor, chillout, classic, meditation",9,40,0.584,0.37,8,-7.313,1,0.0348,0.861,1.07E-05,0.108,0.073,136.012
id_70912,"relaxing, Isochronic, zen, greogrean_chant, nature, binucalor, classic",5,36,0.467,0.122,2,-22.241,1,0.0366,0.954,0.902,0.132,0.411,111.256
id_29272,"relaxing, zen, greogrean_chant, nature, binucalor",7,55,0.482,0.333,2,-9.78,1,0.0636,0.705,0,0.106,0.414,73.271
id_2551,"ambient, Isochronic, zen, nature, binucalor, meditation",7,32,0.339,0.69,7,-8.307,1,0.0306,0.00388,0.000987,0.983,0.421,154.623
id_14416,"relaxing, ambient, Isochronic, greogrean_chant, binucalor, chillout, classic",1,51,0.659,0.163,6,-11.864,0,0.0388,0.766,1.41E-05,0.0735,0.473,95.882
id_10419,"ambient, zen, greogrean_chant, chillout, classic",7,12,0.474,0.683,2,-7.219,0,0.092,0.528,0,0.197,0.834,118.71
id_33176,"ambient, Isochronic, nature, binucalor, chillout, meditation",5,55,0.947,0.419,8,-13.043,0,0.0578,0.778,0.914,0.121,0.362,113.236
id_76525,"ambient, zen, greogrean_chant, nature, meditation",8,20,0.742,0.696,9,-7.198,0,0.0384,0.294,2.34E-06,0.0802,0.765,82.252
id_62842,"chillout, nature, binucalor, classic",5,5,0.638,0.237,6,-11.395,1,0.0411,0.931,0.0154,0.0997,0.475,132.959
id_63560,"relaxing, zen, greogrean_chant, binucalor, chillout",3,43,0.472,0.813,9,-5.919,0,0.0399,0.12,0.000109,0.382,0.684,134.922
id_31772,"relaxing, Isochronic, greogrean_chant, nature, binucalor, chillout, classic",5,35,0.511,0.431,0,-9.372,0,0.0583,0.686,0.753,0.233,0.699,131.309
id_90348,"ambient, zen, greogrean_chant, nature, binucalor, classic",3,34,0.699,0.688,5,-4.11,0,0.141,0.755,0,0.151,0.843,79.242
id_71467,"Isochronic, ambient, greogrean_chant, nature, binucalor, chillout, meditation",6,74,0.316,0.484,9,-9.11,0,0.0308,0.000334,0.00445,0.0912,0.299,117.363
id_88546,"relaxing, Isochronic, ambient, nature, chillout, classic, meditation",6,48,0.418,0.866,11,-4.033,0,0.0513,0.00381,0.00159,0.581,0.643,130.192
id_19261,"Isochronic, zen, chillout, classic, meditation",9,41,0.619,0.405,10,-6.802,1,0.0273,0.391,5.97E-06,0.0736,0.562,128.958
id_12651,"relaxing, Isochronic, chillout",7,30,0.487,0.248,10,-9.562,1,0.0263,0.716,0.00291,0.132,0.211,83.339
id_3454,"relaxing, Isochronic, ambient, chillout, classic, meditation",5,54,0.574,0.691,6,-7.805,0,0.0336,0.0142,0.000431,0.169,0.767,95.009
id_20938,"relaxing, ambient, zen, greogrean_chant, nature",6,44,0.483,0.487,1,-6.376,0,0.158,0.69,0,0.108,0.298,108.944
id_42514,"Isochronic, zen, greogrean_chant, binucalor, chillout, classic",2,69,0.443,0.727,4,-7.951,1,0.145,0.263,0.000141,0.169,0.566,160.82
id_49564,"relaxing, ambient, nature, binucalor, classic, meditation",7,41,0.687,0.322,4,-13.015,1,0.06,0.962,0,0.0818,0.312,107.753
id_34104,"chillout, zen, binucalor, greogrean_chant",8,19,0.328,0.893,3,-10.854,1,0.0594,0.353,0.441,0.0763,0.508,135.322
id_65901,"relaxing, ambient, zen, nature, classic, meditation",3,51,0.532,0.473,2,-7.179,1,0.0295,0.647,8.03E-06,0.0753,0.345,145.072
id_12406,"relaxing, greogrean_chant, binucalor, chillout, classic, meditation",6,35,0.65,0.424,10,-11.238,1,0.0646,0.87,0.0443,0.0869,0.865,91.977
id_78942,"Isochronic, ambient, greogrean_chant, nature, binucalor, chillout",5,9,0.697,0.407,0,-11.75,1,0.0814,0.829,0.121,0.0782,0.965,100.643
id_71016,"relaxing, zen, nature, classic, meditation",3,37,0.686,0.757,11,-7.337,0,0.0267,0.707,0.000153,0.653,0.896,107.712
id_14670,"chillout, ambient, classic, nature",6,34,0.341,0.253,9,-10.552,1,0.0294,0.868,0.000154,0.153,0.19,168.388
id_259,"ambient, zen, Isochronic, nature, binucalor, chillout, classic",1,44,0.599,0.0424,4,-12.099,1,0.0572,0.996,0.00176,0.185,0.186,90.001
id_70267,"Isochronic, zen, greogrean_chant, binucalor, classic, meditation",5,50,0.34,0.491,7,-7,1,0.0322,0.428,0.0397,0.226,0.248,176.309
id_54876,"Isochronic, ambient, zen, greogrean_chant, nature, chillout",6,51,0.644,0.53,4,-8.296,0,0.0884,0.787,0.0303,0.259,0.678,99.733
id_42313,"relaxing, Isochronic, ambient, binucalor, classic, meditation",7,28,0.533,0.704,7,-9.97,1,0.0485,0.164,2.59E-05,0.0739,0.696,118.935
id_30729,"nature, binucalor, chillout, classic, meditation",9,59,0.808,0.532,2,-7.472,1,0.025,0.543,0.00422,0.122,0.816,89.934
id_40673,"ambient, Isochronic, zen, binucalor, classic, meditation",2,51,0.57,0.241,4,-12.138,1,0.0473,0.948,0.0224,0.111,0.543,115.352
id_45164,"zen, greogrean_chant, nature, chillout, classic, meditation",6,35,0.486,0.873,1,-5.996,1,0.132,0.0694,8.72E-05,0.306,0.511,158.559
id_23355,"relaxing, ambient, zen, greogrean_chant, binucalor, chillout, meditation",3,33,0.644,0.716,4,-10.005,0,0.0823,0.0597,1.45E-05,0.101,0.569,142.059
id_20969,"Isochronic, greogrean_chant, binucalor, classic, meditation",4,34,0.42,0.373,1,-9.302,0,0.032,0.922,0.0376,0.101,0.322,174.311
id_87077,"greogrean_chant, nature, binucalor, chillout, classic, meditation",8,12,0.636,0.918,9,-6.294,1,0.0559,0.531,9.85E-06,0.328,0.46,96.991
id_77157,"relaxing, Isochronic, zen, binucalor, classic",1,30,0.614,0.136,10,-14.095,1,0.038,0.913,3.01E-06,0.0891,0.527,113.967
id_19337,"Isochronic, ambient, greogrean_chant, nature, binucalor, meditation",1,30,0.744,0.832,7,-4.268,0,0.0242,0.24,0.00391,0.653,0.967,94.68
id_65401,"Isochronic, ambient, greogrean_chant, nature, binucalor, meditation",5,41,0.534,0.649,2,-5.526,1,0.041,0.0438,0.00474,0.0946,0.528,159.88
id_927,"Isochronic, zen, nature, classic, meditation",8,59,0.441,0.455,10,-14.207,1,0.0485,0.62,0.00187,0.135,0.918,160.9
id_8268,"ambient, Isochronic, greogrean_chant, binucalor, chillout, meditation",4,16,0.695,0.864,9,-9.509,1,0.0344,0.0935,0,0.222,0.962,129.613
id_2597,"relaxing, Isochronic, zen, chillout, classic",9,18,0.53,0.814,5,-4.981,0,0.0494,0.0541,0,0.42,0.285,153.975
id_28942,"relaxing, ambient, zen, Isochronic, meditation",2,20,0.521,0.887,7,-4.474,1,0.0375,0.0228,4.04E-05,0.198,0.739,87.047
id_64881,"relaxing, ambient, Isochronic, nature, chillout, classic",8,23,0.681,0.741,5,-6.549,1,0.0381,0.524,2.81E-05,0.082,0.707,92.913
id_32007,"ambient, zen, binucalor, chillout, meditation",1,35,0.632,0.575,5,-7.358,1,0.0354,0.105,3.59E-05,0.158,0.689,106.953
id_70540,"Isochronic, ambient, greogrean_chant, nature, chillout",2,36,0.756,0.875,7,-7.132,1,0.0743,0.35,0.00928,0.686,0.753,115.257
id_88108,"Isochronic, zen, greogrean_chant, nature, binucalor, meditation",8,52,0.678,0.612,4,-9.764,1,0.0339,0.101,0.318,0.164,0.857,118.381
id_73452,"relaxing, Isochronic, nature, chillout, classic, meditation",2,0,0.629,0.229,7,-6.663,1,0.0459,0.893,2.21E-05,0.122,0.514,138.775
id_87005,"relaxing, ambient, zen, nature, chillout, classic",4,26,0.516,0.737,10,-5.22,1,0.0992,0.0229,5.98E-06,0.375,0.602,133.217
id_1623,"relaxing, Isochronic, greogrean_chant, binucalor, meditation",7,5,0.562,0.481,11,-10.208,1,0.132,0.995,0.423,0.137,0.689,112.667
id_43455,"relaxing, Isochronic, greogrean_chant, nature, binucalor, chillout",8,57,0.706,0.354,6,-9.592,1,0.29,0.479,0,0.0734,0.376,119.793
id_44308,"relaxing, nature, binucalor, chillout, classic",6,18,0.698,0.774,7,-5.144,1,0.0654,0.0887,0.00297,0.117,0.531,90.033
id_34587,"chillout, nature, meditation, greogrean_chant",8,42,0.479,0.905,4,-6.606,0,0.0565,0.00076,0.00219,0.326,0.274,90.007
id_45437,"zen, nature, binucalor, chillout, classic, meditation",2,75,0.404,0.902,1,-3.88,1,0.0665,0.577,0.297,0.287,0.497,115.669
id_38901,"relaxing, Isochronic, greogrean_chant, nature, binucalor, classic, meditation",3,29,0.782,0.683,0,-5.131,1,0.03,0.105,3.77E-06,0.0982,0.87,103.962
id_38627,"relaxing, ambient, nature, binucalor, classic",1,26,0.699,0.475,0,-8.806,1,0.186,0.946,0.000762,0.281,0.74,116.471
id_3569,"Isochronic, zen, ambient, greogrean_chant, chillout, meditation",8,26,0.329,0.893,9,-6.486,1,0.0772,0.00182,0.000652,0.75,0.556,133.074
id_68379,"relaxing, Isochronic, ambient, greogrean_chant, meditation",1,40,0.621,0.79,4,-4.464,1,0.0884,0.115,1.32E-05,0.321,0.947,172.102
id_89212,"relaxing, ambient, zen, Isochronic, nature, meditation",6,30,0.21,0.86,4,-2.187,1,0.0738,0.0121,7.65E-05,0.142,0.402,164.762
id_77704,"relaxing, Isochronic, greogrean_chant, classic, meditation",8,26,0.513,0.26,9,-13.115,1,0.0607,0.935,0.00843,0.154,0.74,80.537
id_33976,"Isochronic, zen, greogrean_chant, binucalor, chillout",7,39,0.656,0.773,1,-9.156,0,0.0363,0.335,0.00142,0.155,0.867,114.979
id_90199,"Isochronic, zen, ambient, greogrean_chant, nature, chillout",9,47,0.465,0.751,2,-5.801,1,0.126,0.279,0.00764,0.208,0.618,149.501
id_87099,"relaxing, Isochronic, zen, ambient, nature, chillout, classic",5,41,0.404,0.398,7,-9.907,1,0.0289,0.205,0.0125,0.0917,0.251,75.867
id_25668,"relaxing, Isochronic, zen, greogrean_chant, nature, binucalor",1,27,0.676,0.604,4,-11.483,1,0.186,0.299,0.587,0.13,0.813,151.174
id_44926,"relaxing, ambient, Isochronic, greogrean_chant, binucalor",1,54,0.809,0.701,0,-12.484,1,0.0574,0.176,0,0.184,0.563,105.696
id_34917,"Isochronic, zen, ambient, binucalor, meditation",2,39,0.765,0.636,4,-8.158,0,0.0479,0.0563,0.000337,0.118,0.518,83.524
id_98380,"relaxing, Isochronic, greogrean_chant, chillout, classic, meditation",7,52,0.639,0.496,1,-6.844,0,0.0375,0.713,0.254,0.0545,0.467,140.394
id_43280,"ambient, Isochronic, zen, greogrean_chant, chillout, classic",5,2,0.723,0.738,5,-8.571,1,0.0442,0.81,0.011,0.0829,0.809,120.121
id_76494,"relaxing, ambient, Isochronic, greogrean_chant, binucalor",2,18,0.568,0.574,2,-6.05,1,0.0252,0.858,0.168,0.11,0.388,93.031
id_10924,"relaxing, Isochronic, ambient, greogrean_chant, binucalor, chillout",4,24,0.412,0.379,9,-12.424,0,0.0603,0.327,0.000336,0.692,0.248,102.96
